Time (s), Velocity (m/s)
0 , 0
0.02 , 0
0.04 , 0.098382
0.06 , 0.188625
0.08 , 0.198364
0.1 , 0.198754
0.12000000000000001 , 0.199029
0.14 , 0.199249
0.16 , 0.199425
0.18 , 0.199565
0.19999999999999998 , 0.199678
0.21999999999999997 , 0.199768
0.23999999999999996 , 0.19984
0.25999999999999995 , 0.199898
0.27999999999999997 , 0.199944
0.3 , 0.199981
0.32 , 0.200011
0.34 , 0.200034
0.36000000000000004 , 0.200053
0.38000000000000006 , 0.200068
0.4000000000000001 , 0.20008
0.4200000000000001 , 0.20009
0.4400000000000001 , 0.200098
0.46000000000000013 , 0.200104
0.48000000000000015 , 0.200109
0.5000000000000001 , 0.200113
0.5200000000000001 , 0.200116
0.5400000000000001 , 0.200119
0.5600000000000002 , 0.200121
0.5800000000000002 , 0.200122
0.6000000000000002 , 0.200123
0.6200000000000002 , 0.200125
0.6400000000000002 , 0.200125
0.6600000000000003 , 0.200126
0.6800000000000003 , 0.200127
0.7000000000000003 , 0.200127
0.7200000000000003 , 0.200127
0.7400000000000003 , 0.200128
0.7600000000000003 , 0.200128
0.7800000000000004 , 0.200128
0.8000000000000004 , 0.200128
0.8200000000000004 , 0.200128
0.8400000000000004 , 0.200128
0.8600000000000004 , 0.200128
0.8800000000000004 , 0.200128
0.9000000000000005 , 0.200128
0.9200000000000005 , 0.200128
0.9400000000000005 , 0.200129
0.9600000000000005 , 0.200129
0.9800000000000005 , 0.200129
1.0000000000000004 , 0.200129
1.0200000000000005 , 0.200129
1.0400000000000005 , 0.200129
1.0600000000000005 , 0.200129
1.0800000000000005 , 0.200129
1.1000000000000005 , 0.200129
1.1200000000000006 , 0.200129
1.1400000000000006 , 0.200129
1.1600000000000006 , 0.200129
1.1800000000000006 , 0.200129
1.2000000000000006 , 0.200129
1.2200000000000006 , 0.200129
1.2400000000000007 , 0.200129
1.2600000000000007 , 0.200129
1.2800000000000007 , 0.200129
1.3000000000000007 , 0.200129
1.3200000000000007 , 0.200129
1.3400000000000007 , 0.200129
1.3600000000000008 , 0.200129
1.3800000000000008 , 0.200129
1.4000000000000008 , 0.200129
1.4200000000000008 , 0.200129
1.4400000000000008 , 0.200129
1.4600000000000009 , 0.200129
1.4800000000000009 , 0.200129
1.5000000000000009 , 0.200129
1.520000000000001 , 0.200129
1.540000000000001 , 0.200129
1.560000000000001 , 0.200129
1.580000000000001 , 0.200129
1.600000000000001 , 0.200129
1.620000000000001 , 0.200129
1.640000000000001 , 0.200129
1.660000000000001 , 0.200129
1.680000000000001 , 0.200129
1.700000000000001 , 0.200129
1.720000000000001 , 0.200129
1.740000000000001 , 0.200129
1.7600000000000011 , 0.200129
1.7800000000000011 , 0.200129
1.8000000000000012 , 0.200129
1.8200000000000012 , 0.200129
1.8400000000000012 , 0.200129
1.8600000000000012 , 0.200129
1.8800000000000012 , 0.200129
1.9000000000000012 , 0.200129
1.9200000000000013 , 0.200129
1.9400000000000013 , 0.200129
1.9600000000000013 , 0.200129
1.9800000000000013 , 0.200129
2.0000000000000013 , 0.200129
2.0200000000000014 , 0.200129
2.0400000000000014 , 0.200129
2.0600000000000014 , 0.200129
2.0800000000000014 , 0.200129
2.1000000000000014 , 0.200129
2.1200000000000014 , 0.200129
2.1400000000000015 , 0.200129
2.1600000000000015 , 0.200129
2.1800000000000015 , 0.200129
2.2000000000000015 , 0.200129
2.2200000000000015 , 0.200129
2.2400000000000015 , 0.200129
2.2600000000000016 , 0.200129
2.2800000000000016 , 0.200129
2.3000000000000016 , 0.200129
2.3200000000000016 , 0.200129
2.3400000000000016 , 0.200129
2.3600000000000017 , 0.200129
2.3800000000000017 , 0.200129
2.4000000000000017 , 0.200129
2.4200000000000017 , 0.200129
2.4400000000000017 , 0.200129
2.4600000000000017 , 0.200129
2.4800000000000018 , 0.200129
2.5000000000000018 , 0.200129
2.520000000000002 , 0.200129
2.540000000000002 , 0.200129
2.560000000000002 , 0.200129
2.580000000000002 , 0.200129
2.600000000000002 , 0.200129
2.620000000000002 , 0.200129
